Algorithm,Data Count,Thread Count,Execution Time (s)
Bubble-Sort,20000,1,1.1494248510
Bubble-Sort,20000,1,1.1354896780
Bubble-Sort,20000,1,1.1331742640
Bubble-Sort,20000,1,1.1393935230
Bubble-Sort,20000,1,1.1394246590
Bubble-Sort,20000,1,1.1511037980
Bubble-Sort,20000,1,1.1774397800
Bubble-Sort,20000,1,1.2125072300
Bubble-Sort,20000,1,1.3687156450
Bubble-Sort,20000,1,1.3086668540
Bubble-Sort,20000,1,1.3066062320
Bubble-Sort,20000,1,1.2371983460
Bubble-Sort,20000,1,1.1576136720
Bubble-Sort,20000,1,1.1765108520
Bubble-Sort,20000,1,1.1531802990
Bubble-Sort,20000,1,1.1597940700
Bubble-Sort,20000,1,1.1600566700
Bubble-Sort,20000,1,1.1820799580
Bubble-Sort,20000,1,1.3628601400
Bubble-Sort,20000,1,1.1896255280
Bubble-Sort,20000,1,1.1599423730
Bubble-Sort,20000,1,1.2702620340
Bubble-Sort,20000,1,1.1981757120
Bubble-Sort,20000,1,1.1718248650
Bubble-Sort,20000,1,1.1787246840
Bubble-Sort,20000,1,1.1697583220
Bubble-Sort,20000,1,1.3595529160
Bubble-Sort,20000,1,1.1637432930
Bubble-Sort,20000,1,1.1612046400
Bubble-Sort,40000,1,4.7801162340
Bubble-Sort,40000,1,4.7759490240
Bubble-Sort,40000,1,4.8348997150
Bubble-Sort,40000,1,4.7840679570
Bubble-Sort,40000,1,4.8483583320
Bubble-Sort,40000,1,4.8030768920
Bubble-Sort,40000,1,4.7982315670
Bubble-Sort,40000,1,4.7993158380
Bubble-Sort,40000,1,4.8231020850
Bubble-Sort,40000,1,4.8080473770
Bubble-Sort,40000,1,4.8257629890
Bubble-Sort,40000,1,4.8761805220
Bubble-Sort,40000,1,4.8194879960
Bubble-Sort,40000,1,4.7590227700
Bubble-Sort,40000,1,4.8101308770
Bubble-Sort,40000,1,4.7997640850
Bubble-Sort,40000,1,4.7685142480
Bubble-Sort,40000,1,4.7556787500
Bubble-Sort,40000,1,4.7916783280
Bubble-Sort,40000,1,4.7540672770
Bubble-Sort,40000,1,4.7898544630
Bubble-Sort,40000,1,5.0592935100
Bubble-Sort,40000,1,4.8497797220
Bubble-Sort,40000,1,4.8301662470
Bubble-Sort,40000,1,4.7988861830
Bubble-Sort,40000,1,4.7913569030
Bubble-Sort,40000,1,4.8719195190
Bubble-Sort,40000,1,4.8211544940
Bubble-Sort,40000,1,4.8308960770
Bubble-Sort,40000,1,4.8064795570
Bubble-Sort,40000,1,4.8022059830
Bubble-Sort,40000,1,4.8017919330
Bubble-Sort,40000,1,4.7955695450
Bubble-Sort,40000,1,4.8264155110
Bubble-Sort,40000,1,4.7924661620
Bubble-Sort,40000,1,4.7941117790
Bubble-Sort,40000,1,4.8719849650
Bubble-Sort,40000,1,4.9961102810
Bubble-Sort,40000,1,4.8378873990
Bubble-Sort,40000,1,4.8472700700
Bubble-Sort,40000,1,4.8603203510
Bubble-Sort,40000,1,4.8237538130
Bubble-Sort,40000,1,4.8246527140
Bubble-Sort,40000,1,4.8358779770
Bubble-Sort,40000,1,5.1129852150
Bubble-Sort,40000,1,4.9420702110
Bubble-Sort,40000,1,5.1043076640
Bubble-Sort,40000,1,4.8661952800
Bubble-Sort,40000,1,4.9556150160
Bubble-Sort,40000,1,4.9462804300
Bubble-Sort,60000,1,10.9634926300
Bubble-Sort,60000,1,10.9893381610
Bubble-Sort,60000,1,10.9605912360
Bubble-Sort,60000,1,11.0852450320
Bubble-Sort,60000,1,11.0269995530
Bubble-Sort,60000,1,11.0414380450
Bubble-Sort,60000,1,11.0048352670
Bubble-Sort,60000,1,11.0339619760
Bubble-Sort,60000,1,10.9902696890
Bubble-Sort,60000,1,10.9829700000
Bubble-Sort,60000,1,10.9704099370
Bubble-Sort,60000,1,10.9917901800
Bubble-Sort,60000,1,11.1542395820
Bubble-Sort,60000,1,10.9688821430
Bubble-Sort,60000,1,10.9410479330
Bubble-Sort,60000,1,10.9902047280
Bubble-Sort,60000,1,13.4340069540
Bubble-Sort,60000,1,11.0167495450
Bubble-Sort,60000,1,10.9597171420
Bubble-Sort,60000,1,11.0564274880
Bubble-Sort,60000,1,11.0085376990
Bubble-Sort,60000,1,11.0121047060
Bubble-Sort,60000,1,10.9714977690
Bubble-Sort,60000,1,10.9794788470
Bubble-Sort,60000,1,10.9640549750
Bubble-Sort,60000,1,11.0332877140
Bubble-Sort,60000,1,11.0115604290
Bubble-Sort,60000,1,10.9925424600
Bubble-Sort,60000,1,11.0141872160
Bubble-Sort,60000,1,11.2528238730
Bubble-Sort,60000,1,10.9940297900
Bubble-Sort,60000,1,11.0177021220
Bubble-Sort,60000,1,10.9712671790
Bubble-Sort,60000,1,11.0095602010
Bubble-Sort,60000,1,10.9678716370
Bubble-Sort,60000,1,11.0447732900
Bubble-Sort,60000,1,10.9464691020
Bubble-Sort,60000,1,10.9974944800
Bubble-Sort,60000,1,10.9945984590
Bubble-Sort,60000,1,11.0061213800
Bubble-Sort,60000,1,11.7888208450
Bubble-Sort,60000,1,11.3330855340
Bubble-Sort,60000,1,10.9636498600
Bubble-Sort,60000,1,10.9614402910
Bubble-Sort,60000,1,10.9891350270
Bubble-Sort,60000,1,11.0777103530
Bubble-Sort,60000,1,11.1767937430
Bubble-Sort,60000,1,11.0051094350
Bubble-Sort,60000,1,10.9810261860
Bubble-Sort,60000,1,10.9775515740
Bubble-Sort,80000,1,19.7311561610
Bubble-Sort,80000,1,19.6839419540
Bubble-Sort,80000,1,19.9103542590
Bubble-Sort,80000,1,19.8541742280
Bubble-Sort,80000,1,19.7115446320
Bubble-Sort,80000,1,19.6267961280
Bubble-Sort,80000,1,19.6333590940
Bubble-Sort,80000,1,19.6886644400
Bubble-Sort,80000,1,19.7100364020
Bubble-Sort,80000,1,20.1289878700
Bubble-Sort,80000,1,19.8012752500
Bubble-Sort,80000,1,19.6937165140
Bubble-Sort,80000,1,19.6222231880
Bubble-Sort,80000,1,19.7622736800
Bubble-Sort,80000,1,19.6919212190
Bubble-Sort,80000,1,19.7582962700
Bubble-Sort,80000,1,19.6981831470
Bubble-Sort,80000,1,19.6798904240
Bubble-Sort,80000,1,19.6531637130
Bubble-Sort,80000,1,19.6749672460
Bubble-Sort,80000,1,19.6552926190
Bubble-Sort,80000,1,19.7744883580
Bubble-Sort,80000,1,19.7054560910
Bubble-Sort,80000,1,19.9567541880
Bubble-Sort,80000,1,19.6452657000
Bubble-Sort,80000,1,19.6523633560
Bubble-Sort,80000,1,19.6382511760
Bubble-Sort,80000,1,19.8525661490
Bubble-Sort,80000,1,19.6969532490
Bubble-Sort,80000,1,19.7751350440
Bubble-Sort,80000,1,19.6190834980
Bubble-Sort,80000,1,19.7227069870
Bubble-Sort,80000,1,19.8063032200
Bubble-Sort,80000,1,19.6438078010
Bubble-Sort,80000,1,19.6597580370
Bubble-Sort,80000,1,19.7588790230
Bubble-Sort,80000,1,19.6635563010
Bubble-Sort,80000,1,19.6732513350
Bubble-Sort,80000,1,19.8352803930
Bubble-Sort,80000,1,19.6620711490
Bubble-Sort,80000,1,19.7337821660
Bubble-Sort,80000,1,20.0087690870
Bubble-Sort,80000,1,19.8324503760
Bubble-Sort,80000,1,19.6996852230
Bubble-Sort,80000,1,19.6612539370
Bubble-Sort,80000,1,19.7143827640
Bubble-Sort,80000,1,19.7074725670
Bubble-Sort,80000,1,19.9660374610
Bubble-Sort,80000,1,19.6828907900
Bubble-Sort,80000,1,19.6901144040
Bubble-Sort,100000,1,30.8392647600
Bubble-Sort,100000,1,30.9081194130
Bubble-Sort,100000,1,30.8123314440
Bubble-Sort,100000,1,30.9770440540
Bubble-Sort,100000,1,30.9045600700
Bubble-Sort,200000,1,123.9007656250
Bubble-Sort,200000,1,123.7861010770
Bubble-Sort,200000,1,125.0427141050
Bubble-Sort,200000,1,126.0624815850
Bubble-Sort,200000,1,124.2193197510
Bubble-Sort,300000,1,280.7242166360
Bubble-Sort,400000,1,495.1883204130
Bubble-Sort,500000,1,776.8228958970
Odd-Even-Transposition-Sort,1000,1,0.0029445750
Odd-Even-Transposition-Sort,1000,1,0.0022824530
Odd-Even-Transposition-Sort,1000,1,0.0022098750
Odd-Even-Transposition-Sort,1000,1,0.0022084960
Odd-Even-Transposition-Sort,1000,1,0.0021986690
Odd-Even-Transposition-Sort,1000,1,0.0022491210
Odd-Even-Transposition-Sort,1000,1,0.0022105080
Odd-Even-Transposition-Sort,1000,1,0.0022575010
Odd-Even-Transposition-Sort,1000,1,0.0021943040
Odd-Even-Transposition-Sort,1000,1,0.0021873000
Odd-Even-Transposition-Sort,1000,1,0.0022264250
Odd-Even-Transposition-Sort,1000,1,0.0021794130
Odd-Even-Transposition-Sort,1000,1,0.0021857270
Odd-Even-Transposition-Sort,1000,1,0.0021750950
Odd-Even-Transposition-Sort,1000,1,0.0022002950
Odd-Even-Transposition-Sort,1000,1,0.0021842820
Odd-Even-Transposition-Sort,1000,1,0.0022829230
Odd-Even-Transposition-Sort,1000,1,0.0021863570
Odd-Even-Transposition-Sort,1000,1,0.0022097510
Odd-Even-Transposition-Sort,1000,1,0.0022224360
Odd-Even-Transposition-Sort,1000,1,0.0022461370
Odd-Even-Transposition-Sort,1000,1,0.0021735280
Odd-Even-Transposition-Sort,1000,1,0.0023038080
Odd-Even-Transposition-Sort,1000,1,0.0026959420
Odd-Even-Transposition-Sort,1000,1,0.0023627620
Odd-Even-Transposition-Sort,1000,1,0.0021753830
Odd-Even-Transposition-Sort,1000,1,0.0023160250
Odd-Even-Transposition-Sort,1000,1,0.0021748520
Odd-Even-Transposition-Sort,1000,1,0.0022499580
Odd-Even-Transposition-Sort,1000,1,0.0021921220
Odd-Even-Transposition-Sort,1000,1,0.0022174400
Odd-Even-Transposition-Sort,1000,1,0.0022958130
Odd-Even-Transposition-Sort,1000,1,0.0022143760
Odd-Even-Transposition-Sort,1000,1,0.0021853730
Odd-Even-Transposition-Sort,1000,1,0.0022457560
Odd-Even-Transposition-Sort,1000,1,0.0021968410
Odd-Even-Transposition-Sort,1000,1,0.0022300280
Odd-Even-Transposition-Sort,1000,1,0.0021879380
Odd-Even-Transposition-Sort,1000,1,0.0022256230
Odd-Even-Transposition-Sort,1000,1,0.0022281710
Odd-Even-Transposition-Sort,1000,1,0.0023344990
Odd-Even-Transposition-Sort,1000,1,0.0021792260
Odd-Even-Transposition-Sort,1000,1,0.0021905350
Odd-Even-Transposition-Sort,1000,1,0.0022141020
Odd-Even-Transposition-Sort,1000,1,0.0023213970
Odd-Even-Transposition-Sort,1000,1,0.0022752370
Odd-Even-Transposition-Sort,1000,1,0.0021929590
Odd-Even-Transposition-Sort,1000,1,0.0021799870
Odd-Even-Transposition-Sort,1000,1,0.0022081660
Odd-Even-Transposition-Sort,1000,1,0.0021907160
Odd-Even-Transposition-Sort,1000,1,0.0023375570
Odd-Even-Transposition-Sort,1000,1,0.0022080450
Odd-Even-Transposition-Sort,1000,1,0.0021975170
Odd-Even-Transposition-Sort,1000,1,0.0022291100
Odd-Even-Transposition-Sort,1000,1,0.0022697920
Odd-Even-Transposition-Sort,1000,1,0.0021934810
Odd-Even-Transposition-Sort,1000,1,0.0021948140
Odd-Even-Transposition-Sort,1000,1,0.0021851950
Odd-Even-Transposition-Sort,1000,1,0.0022918670
Odd-Even-Transposition-Sort,1000,1,0.0023009230
Odd-Even-Transposition-Sort,1000,1,0.0021848390
Odd-Even-Transposition-Sort,1000,1,0.0021867150
Odd-Even-Transposition-Sort,1000,1,0.0025193170
Odd-Even-Transposition-Sort,1000,1,0.0023611950
Odd-Even-Transposition-Sort,1000,1,0.0021975580
Odd-Even-Transposition-Sort,1000,1,0.0021711010
Odd-Even-Transposition-Sort,1000,1,0.0021901660
Odd-Even-Transposition-Sort,1000,1,0.0023937870
Odd-Even-Transposition-Sort,1000,1,0.0021885740
Odd-Even-Transposition-Sort,1000,1,0.0021881990
Odd-Even-Transposition-Sort,1000,1,0.0021757210
Odd-Even-Transposition-Sort,1000,1,0.0023650960
Odd-Even-Transposition-Sort,1000,1,0.0021922620
Odd-Even-Transposition-Sort,1000,1,0.0021760550
Odd-Even-Transposition-Sort,1000,1,0.0022737320
Odd-Even-Transposition-Sort,1000,1,0.0022977160
Odd-Even-Transposition-Sort,1000,1,0.0023872130
Odd-Even-Transposition-Sort,1000,1,0.0021951070
Odd-Even-Transposition-Sort,1000,1,0.0022487090
Odd-Even-Transposition-Sort,1000,1,0.0022371690
Odd-Even-Transposition-Sort,1000,1,0.0022418700
Odd-Even-Transposition-Sort,1000,1,0.0021798950
Odd-Even-Transposition-Sort,1000,1,0.0021996370
Odd-Even-Transposition-Sort,1000,1,0.0021949860
Odd-Even-Transposition-Sort,1000,1,0.0022443430
Odd-Even-Transposition-Sort,1000,1,0.0023020690
Odd-Even-Transposition-Sort,1000,1,0.0022073700
Odd-Even-Transposition-Sort,1000,1,0.0022129920
Odd-Even-Transposition-Sort,1000,1,0.0022416520
Odd-Even-Transposition-Sort,1000,1,0.0024281640
Odd-Even-Transposition-Sort,1000,1,0.0021838620
Odd-Even-Transposition-Sort,1000,1,0.0022124120
Odd-Even-Transposition-Sort,1000,1,0.0023102400
Odd-Even-Transposition-Sort,1000,1,0.0022790680
Odd-Even-Transposition-Sort,1000,1,0.0021813970
Odd-Even-Transposition-Sort,1000,1,0.0022114120
Odd-Even-Transposition-Sort,1000,1,0.0021750030
Odd-Even-Transposition-Sort,1000,1,0.0027593970
Odd-Even-Transposition-Sort,1000,1,0.0021796420
Odd-Even-Transposition-Sort,1000,1,0.0021437810
Odd-Even-Transposition-Sort,5000,1,0.0618788660
Odd-Even-Transposition-Sort,5000,1,0.0558506300
Odd-Even-Transposition-Sort,5000,1,0.0556544480
Odd-Even-Transposition-Sort,5000,1,0.0559897620
Odd-Even-Transposition-Sort,5000,1,0.0563621740
Odd-Even-Transposition-Sort,5000,1,0.0566980990
Odd-Even-Transposition-Sort,5000,1,0.0554874810
Odd-Even-Transposition-Sort,5000,1,0.0560555390
Odd-Even-Transposition-Sort,5000,1,0.0558622570
Odd-Even-Transposition-Sort,5000,1,0.0556832820
Odd-Even-Transposition-Sort,5000,1,0.0555555600
Odd-Even-Transposition-Sort,5000,1,0.0555968670
