Algorithm,Data Count,Thread Count,Mean Execution Time (s)
Parallel-Shell-Sort-Gradual-Halving,200000,8,0.028510189
Parallel-Shell-Sort-Gradual-Halving,200000,16,0.0191293724
Parallel-Shell-Sort-Gradual-Halving,300000,1,0.0823413072
Parallel-Shell-Sort-Gradual-Halving,300000,2,0.0437161172
Parallel-Shell-Sort-Gradual-Halving,300000,4,0.0328254946
Parallel-Shell-Sort-Gradual-Halving,300000,8,0.113351331
Parallel-Shell-Sort-Gradual-Halving,300000,16,0.024730842
Parallel-Shell-Sort-Gradual-Halving,400000,1,0.1154088756
Parallel-Shell-Sort-Gradual-Halving,400000,2,0.060606625
Parallel-Shell-Sort-Gradual-Halving,400000,4,0.0438252642
Parallel-Shell-Sort-Gradual-Halving,400000,8,0.107718486
Parallel-Shell-Sort-Gradual-Halving,400000,16,0.0440991242
Parallel-Shell-Sort-Gradual-Halving,500000,1,0.1362702092
Parallel-Shell-Sort-Gradual-Halving,500000,2,0.0795114286
Parallel-Shell-Sort-Gradual-Halving,500000,4,0.0540033234
Parallel-Shell-Sort-Gradual-Halving,500000,8,0.2975018922
Parallel-Shell-Sort-Gradual-Halving,500000,16,0.046197056
Parallel-Shell-Sort-Hibbard-Sequence,1000,1,0.0002227027
Parallel-Shell-Sort-Hibbard-Sequence,1000,2,0.0002270883
Parallel-Shell-Sort-Hibbard-Sequence,1000,4,0.0001796288
Parallel-Shell-Sort-Hibbard-Sequence,1000,8,0.0076201447
Parallel-Shell-Sort-Hibbard-Sequence,1000,16,0.0006867567
Parallel-Shell-Sort-Hibbard-Sequence,5000,1,0.0008005272
Parallel-Shell-Sort-Hibbard-Sequence,5000,2,0.0005889769
Parallel-Shell-Sort-Hibbard-Sequence,5000,4,0.0004748321
Parallel-Shell-Sort-Hibbard-Sequence,5000,8,0.007167066
Parallel-Shell-Sort-Hibbard-Sequence,5000,16,0.0010458463
Parallel-Shell-Sort-Hibbard-Sequence,10000,1,0.0018094457
Parallel-Shell-Sort-Hibbard-Sequence,10000,2,0.0011815263
Parallel-Shell-Sort-Hibbard-Sequence,10000,4,0.000940152
Parallel-Shell-Sort-Hibbard-Sequence,10000,8,0.0079271553
Parallel-Shell-Sort-Hibbard-Sequence,10000,16,0.0014104779
Parallel-Shell-Sort-Hibbard-Sequence,20000,1,0.0041917461
Parallel-Shell-Sort-Hibbard-Sequence,20000,2,0.0025645993
Parallel-Shell-Sort-Hibbard-Sequence,20000,4,0.0018749088
Parallel-Shell-Sort-Hibbard-Sequence,20000,8,0.0138917585
Parallel-Shell-Sort-Hibbard-Sequence,20000,16,0.0023091777
Parallel-Shell-Sort-Hibbard-Sequence,40000,1,0.0093606897
Parallel-Shell-Sort-Hibbard-Sequence,40000,2,0.0055948565
Parallel-Shell-Sort-Hibbard-Sequence,40000,4,0.003891705
Parallel-Shell-Sort-Hibbard-Sequence,40000,8,0.011296769
Parallel-Shell-Sort-Hibbard-Sequence,40000,16,0.0036881603
Parallel-Shell-Sort-Hibbard-Sequence,60000,1,0.0147576036
Parallel-Shell-Sort-Hibbard-Sequence,60000,2,0.0081541226
Parallel-Shell-Sort-Hibbard-Sequence,60000,4,0.0054454264
Parallel-Shell-Sort-Hibbard-Sequence,60000,8,0.0094921519
